10001,roja,1,2022-06-26 20:01:42,2022-06-26 20:01:55
10002,verde,1,2022-06-26 20:02:29,2022-06-26 20:02:29
10003,morada,1,2022-06-26 20:02:56,2022-06-26 20:02:56
10004,azul,1,2022-06-26 20:02:50,2022-06-26 20:02:50
10005,amarilla,1,2022-06-26 20:02:37,2022-06-26 20:02:37
10001,roja,1,2022-06-26 20:01:42,2022-06-26 20:01:55
10002,verde,1,2022-06-26 20:02:29,2022-06-26 20:02:29
10003,morada,1,2022-06-26 20:02:56,2022-06-26 20:02:56
10004,azul,1,2022-06-26 20:02:50,2022-06-26 20:02:50
10005,amarilla,1,2022-06-26 20:02:37,2022-06-26 20:02:37
10001,roja,1,2022-06-26 20:01:42,2022-06-26 20:01:55
10002,verde,1,2022-06-26 20:02:29,2022-06-26 20:02:29
10003,morada,1,2022-06-26 20:02:56,2022-06-26 20:02:56
10004,azul,1,2022-06-26 20:02:50,2022-06-26 20:02:50
10005,amarilla,1,2022-06-26 20:02:37,2022-06-26 20:02:37
10001,roja,1,2022-06-26 20:01:42,2022-06-26 20:01:55
10002,verde,1,2022-06-26 20:02:29,2022-06-26 20:02:29
10003,morada,1,2022-06-26 20:02:56,2022-06-26 20:02:56
10004,azul,1,2022-06-26 20:02:50,2022-06-26 20:02:50
10005,amarilla,1,2022-06-26 20:02:37,2022-06-26 20:02:37
10001,roja,1,2022-06-26 20:01:42,2022-06-26 20:01:55
10002,verde,1,2022-06-26 20:02:29,2022-06-26 20:02:29
10003,morada,1,2022-06-26 20:02:56,2022-06-26 20:02:56
10004,azul,1,2022-06-26 20:02:50,2022-06-26 20:02:50
10005,amarilla,1,2022-06-26 20:02:37,2022-06-26 20:02:37
10001,roja,1,2022-06-26 20:01:42,2022-06-26 20:01:55
10002,verde,1,2022-06-26 20:02:29,2022-06-26 20:02:29
10003,morada,1,2022-06-26 20:02:56,2022-06-26 20:02:56
10004,azul,1,2022-06-26 20:02:50,2022-06-26 20:02:50
10005,amarilla,1,2022-06-26 20:02:37,2022-06-26 20:02:37
10001,roja,1,2022-06-26 20:01:42,2022-06-26 20:01:55
10002,verde,1,2022-06-26 20:02:29,2022-06-26 20:02:29
10003,morada,1,2022-06-26 20:02:56,2022-06-26 20:02:56
10004,azul,1,2022-06-26 20:02:50,2022-06-26 20:02:50
10005,amarilla,1,2022-06-26 20:02:37,2022-06-26 20:02:37
10001,roja,1,2022-06-26 20:01:42,2022-06-26 20:01:55
10002,verde,1,2022-06-26 20:02:29,2022-06-26 20:02:29
10003,morada,1,2022-06-26 20:02:56,2022-06-26 20:02:56
10004,azul,1,2022-06-26 20:02:50,2022-06-26 20:02:50
10005,amarilla,1,2022-06-26 20:02:37,2022-06-26 20:02:37
10001,roja,1,2022-06-26 20:01:42,2022-06-26 20:01:55
10002,verde,1,2022-06-26 20:02:29,2022-06-26 20:02:29
10003,morada,1,2022-06-26 20:02:56,2022-06-26 20:02:56
10004,azul,1,2022-06-26 20:02:50,2022-06-26 20:02:50
10005,amarilla,1,2022-06-26 20:02:37,2022-06-26 20:02:37
10001,roja,1,2022-06-26 20:01:42,2022-06-26 20:01:55
10002,verde,1,2022-06-26 20:02:29,2022-06-26 20:02:29
10003,morada,1,2022-06-26 20:02:56,2022-06-26 20:02:56
10004,azul,1,2022-06-26 20:02:50,2022-06-26 20:02:50
10005,amarilla,1,2022-06-26 20:02:37,2022-06-26 20:02:37
10001,roja,1,2022-06-26 20:01:42,2022-06-26 20:01:55
10002,verde,1,2022-06-26 20:02:29,2022-06-26 20:02:29
10003,morada,1,2022-06-26 20:02:56,2022-06-26 20:02:56
10004,azul,1,2022-06-26 20:02:50,2022-06-26 20:02:50
10005,amarilla,1,2022-06-26 20:02:37,2022-06-26 20:02:37
